ID,Order,Name (AZ),Name (EN),Description (AZ),Description (EN),Website,Card Image Link,Word File (AZ),Word File (EN),Presentation (AZ),Presentation (EN),Created At
339289b3-4f3e-47aa-bdc0-0bf35b5e8452,0,TexnoCode MMC,TexnoCode LLC,"Müasir texnologiya həlləri təqdim edən innovativ IT şirkəti. Web development, mobil tətbiqlər, süni intellekt və rəqəmsal transformasiya sahəsində peşəkar xidmətlər göstərir.","An innovative IT company delivering modern technology solutions in web development, mobile applications, artificial intelligence, and digital transformation services.",https://texnocode.com/,https://projects-back.siradzu.com/uploads/cardImage-adsaz-tasaram-1779105736478.png,https://projects-back.siradzu.com/uploads/word_az-texnocode-mvp-az-1779105736486.docx,https://projects-back.siradzu.com/uploads/word_en-texnocode-mvp-eng-1779105736487.docx,https://projects-back.siradzu.com/uploads/ppt_az-limitsiz-innovasiya-1779105736487.pptx,https://projects-back.siradzu.com/uploads/ppt_en-limitsiz-innovasiya-1779105736826.pptx,2026-05-18T12:02:17.201Z
e5c4c300-ff75-4d90-98f1-334bac3beb9d,1,Buyonida MMC,Buyonida LLC,"BUYONIDA istifadəçilərə öz vebsaytlarını sürətli, sadə və AI dəstəyi ilə yaratmağa imkan verən rəqəmsal platformadır. Sistem fərdi şəxslər, kiçik bizneslər və brendlər üçün texniki bilik tələb etmədən müasir web həlləri təqdim edir. Platformanın əsas məqsədi Azərbaycanda vebsayt qurulmasını daha əlçatan, sürətli və ağıllı hala gətirməkdir.","BUYONIDA is a digital platform that enables users to build their own websites quickly, easily, and with AI-powered assistance. The system provides modern web solutions for individuals, small businesses, and brands without requiring technical expertise. Its main goal is to make website creation in Azerbaijan more accessible, faster, and smarter.",https://buyonida.com/,https://projects-back.siradzu.com/uploads/cardImage-bir-basilak-ekleyin-2-1779355540626.png,https://projects-back.siradzu.com/uploads/word_az-buyonida-mvp-az-1779355540634.docx,https://projects-back.siradzu.com/uploads/word_en-buyonida-mvp-eng-1779355540634.docx,,https://projects-back.siradzu.com/uploads/ppt_en-buyonida-pitchdeck-26-02-en-1779355540635.pptx,2026-05-21T09:25:41.518Z
47242028-d192-48d6-8826-5f63d88bcc20,2,Edusaz,Edusaz,"EDUSAZ təhsil prosesini daha sürətli, rahat və rəqəmsal şəkildə idarə etməyə imkan verən ağıllı edu-platformadır. Sistem tələbələr, müəllimlər və təhsil müəssisələri üçün qeydiyyat, öyrənmə, idarəetmə və kommunikasiya proseslərini vahid ekosistemdə birləşdirir. Platformanın əsas məqsədi təhsili daha əlçatan, interaktiv və müasir texnologiyalarla dəstəklənən bir təcrübəyə çevirməkdir.","EDUSAZ is a smart education platform designed to simplify and digitize the learning experience. The system unifies registration, learning, management, and communication processes for students, teachers, and educational institutions within a single ecosystem. Its core mission is to make education more accessible, interactive, and powered by modern technology.",https://edusaz.com/,https://projects-back.siradzu.com/uploads/cardImage-bir-basilak-ekleyin-4-1779360535581.png,https://projects-back.siradzu.com/uploads/word_az-edusaz-mvp-az-1779360535583.docx,https://projects-back.siradzu.com/uploads/word_en-edusaz-mvp-eng-1779360535583.docx,,https://projects-back.siradzu.com/uploads/ppt_en-edusaz-learning-made-simple-1779360535583.pptx,2026-05-21T10:48:55.877Z
e39bf0b1-a3ca-420a-8174-5727d17dd107,3,Adezula,Adezula,"ADEZULA qadınlar üçün xüsusi hazırlanmış təhlükəsiz və hörmətli rəqəmsal platformadır. Platforma istifadəçilərin özlərini qorunmuş və dəyərli hiss edərək ünsiyyət qurması, öyrənməsi və inkişaf etməsi üçün sakin bir mühit yaradır. Burada məxfilik, mənalı əlaqələr və şəxsi inkişaf ön plandadır, zərərli məzmun və təzyiqə yer verilmir.","ADEZULA is a safe and respectful digital platform designed specifically for women. It provides a calm environment where users can connect, learn, and grow while feeling protected and valued. The platform focuses on privacy, meaningful interaction, and personal development without pressure or harmful content.",https://adezula.com/,https://projects-back.siradzu.com/uploads/cardImage-bir-basilak-ekleyin-11-1779689492159.png,https://projects-back.siradzu.com/uploads/word_az-adezula-mvp-1779689492169.docx,https://projects-back.siradzu.com/uploads/word_en-adezula-mvp-eng-1779689492170.docx,,https://projects-back.siradzu.com/uploads/ppt_en-adezula-presentation-1779689492172.pdf,2026-05-25T06:11:33.086Z
a67ade87-327b-482e-813a-ce1f4d0f7c9b,4,Shafransa Sİ,Shafransa AI,"SHAFRANSA insanların daha məlumatlı və təbii sağlamlıq seçimlərini araşdırmasına kömək edən AI dəstəklı wellness platformasıdır. Platforma ənənəvi bitki biliklərini, ekspert yönləndirməsini və təbii məhsulları vahid rəqəmsal ekosistemdə birləşdirir. SHAFRANSA təbii sağlamlıq məlumatlarını daha sadə, strukturlaşdırılmış və etibarlı hala gətirərək insanların rifaha daha balanslı yanaşmasını dəstəkləyir.","SHAFRANSA is a natural wellness and AI-supported health platform designed to help people explore safer and more informed natural health solutions. The platform connects traditional herbal knowledge, expert guidance, and natural products within one accessible digital ecosystem. SHAFRANSA promotes a more balanced and conscious approach to well-being by making natural health information simple, structured, and easier to trust.",https://shafransa.com/,https://projects-back.siradzu.com/uploads/cardImage-bir-basilak-ekleyin-20-1779693747172.png,https://projects-back.siradzu.com/uploads/word_az-shafransa-mvp-az-1779693747180.docx,https://projects-back.siradzu.com/uploads/word_en-shafransa-mvp-eng-1779693747180.docx,,https://projects-back.siradzu.com/uploads/ppt_en-the-intersection-of-botanical-science-and-artificial-intelligence-1-1779693747180.pptx,2026-05-25T07:22:27.900Z
01bff90e-584e-4a42-8f96-3ffd642d98e1,5,Nintel MMC,Nintel LLC,"NINTEL təşkilatlara ictimai rəyi anlamaq və riskləri real vaxtda aşkar etmək üçün hazırlanmış inkişaf etmiş sosial media monitorinqi və media analitika platformasıdır. Platforma AI əsaslı sentiment analizi və rəqəmsal intellekt texnologiyaları vasitəsilə trendləri, auditoriya davranışını, reputasiya risklərini və strateji imkanları izləyir. NINTEL şirkətlərə, dövlət qurumlarına və brendlərə daha sürətli, ağıllı və məlumat əsaslı qərarlar verməyə imkan yaradır.","NINTEL is an advanced social media monitoring and media analytics platform that helps organizations understand public opinion and detect risks in real time. The platform uses AI-powered sentiment analysis and digital intelligence tools to track trends, audience behavior, reputation risks, and strategic opportunities across online platforms. NINTEL enables businesses, governments, and brands to make faster, smarter, and data-driven communication decisions.",https://www.nintel.az/,https://projects-back.siradzu.com/uploads/cardImage-bir-basilak-ekleyin-17-1779691957035.png,https://projects-back.siradzu.com/uploads/word_az-nintel-mvp-az-1779691957035.docx,https://projects-back.siradzu.com/uploads/word_en-nintel-mvp-eng-1779691957035.docx,https://projects-back.siradzu.com/uploads/ppt_az-nintel-teqdimat-3-1-1779691957035.pdf,,2026-05-25T06:52:37.251Z
695118d1-67d5-4d51-a64e-3358c791ef4c,6,Sinadel,Sinadel,"Sinadel vətəndaşların ictimai və xidmət problemlərini şəffaf, izlənilə bilən və strukturlaşdırılmış şəkildə bildirməsinə imkan yaradan civic-tech platformasıdır. Platforma istifadəçilərə anonim və ya açıq şəkildə müraciət etməyə imkan verir, təşkilatlar isə məsuliyyət və xidmət keyfiyyətini artırmaq üçün strukturlaşdırılmış hesabatlar əldə edir. Sinadel şikayətlərin itib-batmadığı, həll prosesinin izlənilə bildiyi daha təhlükəsiz və əlaqəli kommunikasiya ekosistemi yaradır.","Sinadel is a civic-tech platform that enables citizens to report public and service-related issues in a transparent, trackable, and structured way. The platform allows users to submit feedback anonymously or publicly while organizations receive organized reports to improve accountability and service quality. Sinadel creates a safer and more connected communication ecosystem where complaints can be followed until resolution instead of being ignored or lost.",https://sinadel.com/,https://projects-back.siradzu.com/uploads/cardImage-bir-basilak-ekleyin-27-1779694790944.png,,,,https://projects-back.siradzu.com/uploads/ppt_en-bir-basilak-ekleyin-27-1779694790944.png,2026-05-25T07:39:50.946Z
6825bee1-fb8a-433f-b659-6f9893f5c8ec,7,Sinorra,Sinorra,"Sinorra istifadə olunmayan resursları ehtiyacı olan insanlar üçün faydalı imkanlara çevirən sosial təsir və human support platformasıdır. Platforma insanları anonim şəkildə şirkətlər, icmalar, mentorlar və təşkilatlarla birləşdirərək resurs, xidmət, təhsil və inkişaf imkanlarına çıxış yaradır. Sinorra insanların yardımı təhlükəsiz, hörmətli və mühakiməsiz şəkildə əldə edə bilməsi üçün dignity-first yanaşmasına fokuslanır.","Sinorra is a social impact and human support platform designed to transform unused resources into meaningful opportunities for people in need. The platform anonymously connects individuals with companies, communities, mentors, and organizations willing to share resources, services, education, and growth opportunities. Sinorra focuses on dignity-first support by creating a safe, respectful, and judgment-free ecosystem where people can access help and personal development opportunities privately.",https://sinorra.com/,https://projects-back.siradzu.com/uploads/cardImage-bir-basilak-ekleyin-25-1779694436012.png,https://projects-back.siradzu.com/uploads/word_az-sinora-mvp-az-1779694436013.docx,https://projects-back.siradzu.com/uploads/word_en-sinorra-mvp-eng-1779694436013.docx,,https://projects-back.siradzu.com/uploads/ppt_en-sinorra-mvp-1-1779694436015.pdf,2026-05-25T07:33:56.202Z
0d830fac-246a-4c0f-bdc0-e2bd471f51e9,8,Kidsina,Kidsina,"Kidsina uşaqlar üçün hazırlanmış təhlükəsiz rəqəmsal platformadır və öyrənmə, sosial ünsiyyət və sağlam vərdiş inkişafını vahid ekosistemdə birləşdirir. Platforma uşaqların təhlükəsiz mühitdə inkişaf etməsinə imkan yaradır, valideynlər isə smart nəzarət və insight sistemi vasitəsilə prosesi izləyə bilir. Kidsina AI dəstəklı təhsil, davranış yönləndirməsi və valideyn təsdiqli təhlükəsizlik funksiyaları ilə uşaqlar üçün daha balanslı və faydalı rəqəmsal təcrübə təqdim edir.","Kidsina is a child-focused digital platform that combines safe social interaction, smart learning, and healthy habit development in one guided ecosystem. The platform creates a protected environment where children can learn, communicate, and grow while parents stay involved through a smart control and insight system. Kidsina uses AI-supported education, behavior guidance, and parent-approved safety features to provide a more balanced and meaningful digital experience for children.",https://kidsina.com/,https://projects-back.siradzu.com/uploads/cardImage-bir-basilak-ekleyin-26-1779694691206.png,,,,https://projects-back.siradzu.com/uploads/ppt_en-kidsina-mvp-1779694691207.pptx,2026-05-25T07:38:11.447Z
1a949d5c-34df-4954-913e-af0145a2a1f9,9,Azvirt InfraOS,Azvirt InfraOS,"AZVIRT INFRAOS AI əsaslı yol, infrastruktur və tikinti əməliyyat platformasıdır. Sistem layihələri, texnikanı, materialları və sahə əməliyyatlarını vahid rəqəmsal ekosistemdə birləşdirərək real vaxt idarəetməsi və risk analitikası təqdim edir. Platformanın əsas məqsədi hər yol və infrastruktur layihəsini “rəqəmsal canlı data obyektinə” çevirməkdir.","AZVIRT INFRAOS is an AI-powered road, infrastructure, and construction operations platform. The system unifies projects, machinery, materials, and field operations into a single digital ecosystem with real-time monitoring and predictive risk analytics. Its core vision is to transform every road and infrastructure project into a “living digital data asset.",,https://projects-back.siradzu.com/uploads/cardImage-bir-basilak-ekleyin-1779353479307.png,https://projects-back.siradzu.com/uploads/word_az-azvirtinfraos-mvp-az-1779353479308.docx,,https://projects-back.siradzu.com/uploads/ppt_az-azvirt-infraos-digital-road-passport-1779353479311.pptx,,2026-05-21T08:51:19.521Z
